draw_id,date,num1,num2,num3,num4,num5
612,2011/5/3,11,18,24,27,30
613,2011/5/10,2,16,17,20,28
614,2011/5/17,7,16,23,25,30
615,2011/5/24,4,12,13,19,20
616,2011/5/31,7,18,21,27,28
617,2011/6/7,3,9,16,19,28
618,2011/6/14,10,12,14,22,31
619,2011/6/21,4,7,14,20,30
620,2011/6/28,2,14,21,25,31
621,2011/7/5,6,12,18,24,30
622,2011/7/12,13,14,20,25,27
623,2011/7/19,4,9,14,15,26
624,2011/7/26,5,7,11,12,24
625,2011/8/2,19,20,23,26,31
626,2011/8/9,11,12,14,17,26
627,2011/8/16,6,10,14,15,20
628,2011/8/23,1,2,10,17,20
629,2011/8/30,1,3,16,26,29
630,2011/9/6,3,4,16,19,31
631,2011/9/13,3,15,18,20,25
632,2011/9/20,6,14,15,25,26
633,2011/9/27,2,12,19,20,30
634,2011/10/4,6,14,24,27,31
635,2011/10/11,12,13,16,20,29
636,2011/10/18,8,13,21,26,30
637,2011/10/25,1,5,10,15,21
638,2011/11/1,1,16,18,27,30
639,2011/11/8,6,14,20,29,31
640,2011/11/15,6,15,18,28,31
641,2011/11/22,5,11,14,17,22
642,2011/11/29,9,22,26,27,31
643,2011/12/6,9,11,17,19,22
644,2011/12/13,5,13,15,20,27
645,2011/12/20,8,13,18,19,24
646,2011/12/27,3,6,16,30,31
647,2012/1/10,3,6,7,10,21
648,2012/1/17,6,13,18,19,21
649,2012/1/24,3,11,18,19,21
650,2012/1/31,4,11,18,24,26
651,2012/2/7,8,11,15,20,31
652,2012/2/14,2,5,19,28,29
653,2012/2/21,11,16,20,22,30
654,2012/2/28,6,11,22,25,27
655,2012/3/6,7,9,12,14,18
656,2012/3/13,4,10,15,22,23
657,2012/3/20,9,14,18,23,30
658,2012/3/27,7,8,11,15,26
659,2012/4/3,5,9,22,30,31
660,2012/4/10,7,12,15,30,31
661,2012/4/17,2,6,9,19,20
662,2012/4/24,7,9,15,28,31
663,2012/5/1,1,9,10,21,31
664,2012/5/8,6,9,11,16,29
665,2012/5/15,7,12,17,20,28
666,2012/5/22,10,11,17,24,29
667,2012/5/29,8,9,19,26,31
668,2012/6/5,7,9,16,27,29
669,2012/6/12,4,7,8,25,31
670,2012/6/19,4,6,26,27,29
671,2012/6/26,7,14,19,22,27
672,2012/7/3,3,8,20,22,28
673,2012/7/10,6,12,21,24,25
674,2012/7/17,1,2,3,24,25
675,2012/7/24,6,21,27,28,31
676,2012/7/31,4,6,18,22,28
677,2012/8/7,10,16,23,24,30
678,2012/8/14,15,17,21,24,25
679,2012/8/21,5,11,23,29,31
680,2012/8/28,2,3,11,15,24
681,2012/9/4,6,12,17,19,30
682,2012/9/11,4,8,20,25,27
683,2012/9/18,1,7,15,23,26
684,2012/9/25,10,12,13,19,25
685,2012/10/2,8,11,19,21,30
686,2012/10/9,3,5,7,10,18
687,2012/10/16,2,9,17,24,29
688,2012/10/23,4,5,9,15,26
689,2012/10/30,12,13,19,23,25
690,2012/11/6,11,16,22,23,25
691,2012/11/13,3,9,10,20,25
692,2012/11/20,9,13,14,23,31
693,2012/11/27,5,17,21,24,25
694,2012/12/4,5,12,15,16,20
695,2012/12/11,4,19,20,27,28
696,2012/12/18,5,9,15,19,30
697,2012/12/25,5,7,17,25,27
698,2013/1/8,2,3,5,14,24
699,2013/1/15,6,12,21,24,28
700,2013/1/22,6,8,9,21,26
701,2013/1/29,4,8,13,15,26
702,2013/2/5,10,12,13,20,23
703,2013/2/12,3,10,16,28,31
704,2013/2/19,2,11,21,24,25
705,2013/2/26,8,16,18,21,22
706,2013/3/5,4,6,15,16,29
707,2013/3/12,2,11,23,27,29
708,2013/3/19,10,11,20,28,29
709,2013/3/26,2,5,16,17,18
